PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,No. of all inlinks,Is in sitemap,Referenced in sitemaps,No. of referencing sitemaps
30,https://www.kinexisdigital.com/en/services/social-media,Social Media Management for B2B Brands | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/technology,Technology Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/hospitality/resorts,Agencia de Marketing Resorts | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en,KINEXIS Digital - Turn Traffic Into Revenue,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/healthcare/wellness,Agencia de Marketing Wellness | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/home-services/pest-control,Pest Control Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/locations/cedar-falls,Digital Marketing Agency Cedar Falls | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/hospitality/restaurants,Restaurants Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/financial-services,Financial Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/healthcare/physical-therapy,Agencia de Marketing Physical Therapy | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/wordpress-vs-webflow,WordPress vs Webflow | Which Platform for Your Business…,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/home-services/electrical,Electrical Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/professional-services/law-firms,Law Firms Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/services/ppc-management,Multi-Channel PPC Management | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/locations/toronto,Digital Marketing Agency Toronto | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/hospitality/event-venues,Event Venues Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/manufacturing/industrial,Agencia de Marketing Industrial | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/technology/saas,SaaS Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/financial-services,Financial Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/locations/cedar-rapids,Digital Marketing Agency Cedar Rapids | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/services/google-ads,Google Ads Management Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/ecommerce,E-Commerce Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/ecommerce/dtc-brands,DTC Brands Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/ecommerce/shopify-brands,Agencia de Marketing Shopify Brands | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/digital-marketing-agency,Agencia de Marketing Digital | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries,Industrias que Servimos | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/digital-marketing-agency,Digital Marketing Agency | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/services/email-marketing,Email Marketing & Automation for B2B | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/manufacturing/aerospace,Agencia de Marketing Aerospace | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/services/paid-ads,Paid Ads for Lead Generation | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/healthcare/pharmacies,Pharmacies Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/healthcare/chiropractors,Agencia de Marketing Chiropractors | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/services/video-marketing,"Video Marketing for Ads, Social & Web | KINEXIS Digital",text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/healthcare,Healthcare Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/healthcare/physical-therapy,Physical Therapy Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/services/local-seo,Agencia SEO Local para Marcas… | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/healthcare/dental,Dental Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/local-seo-vs-google-ads,Local SEO vs Google Ads | Map Pack or Paid Search?,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/locations/bogota,Digital Marketing Agency Bogotá | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/locations/des-moines,Digital Marketing Agency Des Moines | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/ecommerce/subscription-boxes,Agencia de Marketing Subscription Boxes | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/services/social-media,Agencia Marketing en Redes Sociales para… | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/wordpress-vs-webflow,WordPress vs Webflow | ¿Qué Plataforma Elegir?,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/home-services/hvac,Agencia de Marketing HVAC | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/locations/austin,Digital Marketing Agency Austin | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/services/branding,Branding & Identity for B2B Companies | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/ecommerce/b2b-ecommerce,B2B E-Commerce Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/professional-services/real-estate,Real Estate Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/seo-vs-ppc,SEO vs PPC | Orgánico vs Pagado,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/case-studies,Case Studies | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/ecommerce,E-Commerce Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/services/funnels,Funnels and CRO | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/services/growth-consulting,Consultoría de Crecimiento para… | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/technology/ai-companies,AI Companies Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/financial-services/credit-unions,Agencia de Marketing Credit Unions | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/professional-services/accountants,Agencia de Marketing Accountants | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/technology/startups,Agencia de Marketing Startups | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/home-services,Home Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/blog/landing-page-best-practices,Mejores Prácticas de Landing Pages para Tráfico… | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/technology/ai-companies,Agencia de Marketing AI Companies | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
