PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
0,https://www.kinexisdigital.com/locations/des-moines/web-design,,,false,307,0,https://www.kinexisdigital.com/en/locations/des-moines/web-design,200,,,https://www.kinexisdigital.com/en/locations/des-moines/web-design,200,false,2,0,https://www.kinexisdigital.com/en/locations/des-moines/web-design
0,https://www.kinexisdigital.com/industries/ecommerce/dtc-brands,,,false,307,0,https://www.kinexisdigital.com/en/industries/ecommerce/dtc-brands,200,,,https://www.kinexisdigital.com/en/industries/ecommerce/dtc-brands,200,false,2,0,https://www.kinexisdigital.com/en/industries/ecommerce/dtc-brands
0,https://www.kinexisdigital.com/services/meta-ads,,,false,307,0,https://www.kinexisdigital.com/en/services/meta-ads,200,,,https://www.kinexisdigital.com/en/services/meta-ads,200,false,2,0,https://www.kinexisdigital.com/en/services/meta-ads
0,https://www.kinexisdigital.com/locations/waterloo,,,false,307,0,https://www.kinexisdigital.com/en/locations/waterloo,200,,,https://www.kinexisdigital.com/en/locations/waterloo,200,false,2,0,https://www.kinexisdigital.com/es/locations/waterloo
0,https://www.kinexisdigital.com/services/web-design,,,false,307,0,https://www.kinexisdigital.com/en/services/web-design,200,,,https://www.kinexisdigital.com/en/services/web-design,200,false,2,0,https://www.kinexisdigital.com/en/services/web-design
0,https://www.kinexisdigital.com/blog/google-business-profile-tips,,,false,307,0,https://www.kinexisdigital.com/en/blog/google-business-profile-tips,200,,,https://www.kinexisdigital.com/en/blog/google-business-profile-tips,200,false,2,0,https://www.kinexisdigital.com/en/blog/google-business-profile-tips
0,https://www.kinexisdigital.com/locations/des-moines/ppc-management,,,false,307,0,https://www.kinexisdigital.com/en/locations/des-moines/ppc-management,200,,,https://www.kinexisdigital.com/en/locations/des-moines/ppc-management,200,false,2,0,https://www.kinexisdigital.com/en/locations/des-moines/ppc-management
0,https://www.kinexisdigital.com/locations/toronto/google-ads,,,false,307,0,https://www.kinexisdigital.com/en/locations/toronto/google-ads,200,,,https://www.kinexisdigital.com/en/locations/toronto/google-ads,200,false,2,0,https://www.kinexisdigital.com/en/locations/toronto/google-ads
0,https://www.kinexisdigital.com/blog/landing-page-optimization,,,false,307,0,https://www.kinexisdigital.com/en/blog/landing-page-optimization,200,,,https://www.kinexisdigital.com/en/blog/landing-page-optimization,200,false,2,0,https://www.kinexisdigital.com/en/blog/landing-page-optimization
0,https://www.kinexisdigital.com/industries/financial-services/wealth-management,,,false,307,0,https://www.kinexisdigital.com/en/industries/financial-services/wealth-management,200,,,https://www.kinexisdigital.com/en/industries/financial-services/wealth-management,200,false,2,0,https://www.kinexisdigital.com/en/industries/financial-services/wealth-management
0,https://www.kinexisdigital.com/team/maria-rodriguez,,,false,307,0,https://www.kinexisdigital.com/en/team/maria-rodriguez,200,,,https://www.kinexisdigital.com/en/team/maria-rodriguez,200,false,2,0,https://www.kinexisdigital.com/en/team/maria-rodriguez
0,https://www.kinexisdigital.com/industries,,,false,307,0,https://www.kinexisdigital.com/en/industries,200,,,https://www.kinexisdigital.com/en/industries,200,false,2,0,https://www.kinexisdigital.com/en/industries
0,https://www.kinexisdigital.com/blog/posts,,,false,307,0,https://www.kinexisdigital.com/en/blog/posts,200,,,https://www.kinexisdigital.com/en/blog/posts,200,false,2,0,https://www.kinexisdigital.com/en/blog/posts
0,https://www.kinexisdigital.com/blog/seo-vs-google-ads,,,false,307,0,https://www.kinexisdigital.com/en/blog/seo-vs-google-ads,200,,,https://www.kinexisdigital.com/en/blog/seo-vs-google-ads,200,false,2,0,https://www.kinexisdigital.com/en/blog/seo-vs-google-ads
0,http://www.kinexisdigital.com/services/email-marketing,,,false,307,0,http://www.kinexisdigital.com/en/services/email-marketing,200,,,http://www.kinexisdigital.com/en/services/email-marketing,200,false,3,0,http://www.kinexisdigital.com/en/blog/lifecycle-marketing
0,https://www.kinexisdigital.com/services/local-seo,,,false,307,0,https://www.kinexisdigital.com/en/services/local-seo,200,,,https://www.kinexisdigital.com/en/services/local-seo,200,false,4,0,https://www.kinexisdigital.com/en/services/local-seo
0,https://www.kinexisdigital.com/industries/manufacturing/industrial,,,false,307,0,https://www.kinexisdigital.com/en/industries/manufacturing/industrial,200,,,https://www.kinexisdigital.com/en/industries/manufacturing/industrial,200,false,2,0,https://www.kinexisdigital.com/en/industries/manufacturing/industrial
0,https://www.kinexisdigital.com/industries/technology/startups,,,false,307,0,https://www.kinexisdigital.com/en/industries/technology/startups,200,,,https://www.kinexisdigital.com/en/industries/technology/startups,200,false,2,0,https://www.kinexisdigital.com/en/industries/technology/startups
0,https://www.kinexisdigital.com/case-studies/premium-ecommerce-brand,,,false,307,0,https://www.kinexisdigital.com/en/case-studies/premium-ecommerce-brand,200,,,https://www.kinexisdigital.com/en/case-studies/premium-ecommerce-brand,200,false,2,0,https://www.kinexisdigital.com/en/case-studies/premium-ecommerce-brand
0,https://www.kinexisdigital.com/locations/cedar-rapids/seo,,,false,307,0,https://www.kinexisdigital.com/en/locations/cedar-rapids/seo,200,,,https://www.kinexisdigital.com/en/locations/cedar-rapids/seo,200,false,2,0,https://www.kinexisdigital.com/en/locations/cedar-rapids/seo
0,https://www.kinexisdigital.com/pricing/google-ads,,,false,307,0,https://www.kinexisdigital.com/en/pricing/google-ads,200,,,https://www.kinexisdigital.com/en/pricing/google-ads,200,false,2,0,https://www.kinexisdigital.com/en/pricing/google-ads
0,https://www.kinexisdigital.com/blog/ab-testing-framework,,,false,307,0,https://www.kinexisdigital.com/en/blog/ab-testing-framework,200,,,https://www.kinexisdigital.com/en/blog/ab-testing-framework,200,false,2,0,https://www.kinexisdigital.com/en/blog/ab-testing-framework
0,https://www.kinexisdigital.com/blog/technical-seo-guide,,,false,307,0,https://www.kinexisdigital.com/en/blog/technical-seo-guide,200,,,https://www.kinexisdigital.com/en/blog/technical-seo-guide,200,false,2,0,https://www.kinexisdigital.com/en/blog/technical-seo-guide
0,https://www.kinexisdigital.com/blog/local-business-growth-playbook,,,false,307,0,https://www.kinexisdigital.com/en/blog/local-business-growth-playbook,200,,,https://www.kinexisdigital.com/en/blog/local-business-growth-playbook,200,false,2,0,https://www.kinexisdigital.com/es/blog/local-business-growth-playbook
0,https://www.kinexisdigital.com/services/branding,,,false,307,0,https://www.kinexisdigital.com/en/services/branding,200,,,https://www.kinexisdigital.com/en/services/branding,200,false,2,0,https://www.kinexisdigital.com/en/services/branding
0,https://www.kinexisdigital.com/services/content-marketing,,,false,307,0,https://www.kinexisdigital.com/en/services/content-marketing,200,,,https://www.kinexisdigital.com/en/services/content-marketing,200,false,2,0,https://www.kinexisdigital.com/en/services/content-marketing
0,https://www.kinexisdigital.com/industries/ecommerce/subscription-boxes,,,false,307,0,https://www.kinexisdigital.com/en/industries/ecommerce/subscription-boxes,200,,,https://www.kinexisdigital.com/en/industries/ecommerce/subscription-boxes,200,false,2,0,https://www.kinexisdigital.com/en/industries/ecommerce/subscription-boxes
0,https://www.kinexisdigital.com/industries/financial-services/insurance,,,false,307,0,https://www.kinexisdigital.com/en/industries/financial-services/insurance,200,,,https://www.kinexisdigital.com/en/industries/financial-services/insurance,200,false,2,0,https://www.kinexisdigital.com/en/industries/financial-services/insurance
0,http://www.kinexisdigital.com/services/seo,,,false,307,0,http://www.kinexisdigital.com/en/services/seo,200,,,http://www.kinexisdigital.com/en/services/seo,200,false,4,0,http://www.kinexisdigital.com/en/blog/seo-audit-framework
0,https://www.kinexisdigital.com/locations/des-moines,,,false,307,0,https://www.kinexisdigital.com/en/locations/des-moines,200,,,https://www.kinexisdigital.com/en/locations/des-moines,200,false,2,0,https://www.kinexisdigital.com/en/locations/des-moines
0,https://www.kinexisdigital.com/industries/healthcare/medical,,,false,307,0,https://www.kinexisdigital.com/en/industries/healthcare/medical,200,,,https://www.kinexisdigital.com/en/industries/healthcare/medical,200,false,2,0,https://www.kinexisdigital.com/en/industries/healthcare/medical
0,https://www.kinexisdigital.com/services/email-marketing,,,false,307,0,https://www.kinexisdigital.com/en/services/email-marketing,200,,,https://www.kinexisdigital.com/en/services/email-marketing,200,false,8,0,https://www.kinexisdigital.com/en/services/email-marketing
0,https://www.kinexisdigital.com/blog/email-segmentation,,,false,307,0,https://www.kinexisdigital.com/en/blog/email-segmentation,200,,,https://www.kinexisdigital.com/en/blog/email-segmentation,200,false,2,0,https://www.kinexisdigital.com/en/blog/email-segmentation
0,https://www.kinexisdigital.com/industries/manufacturing/automotive,,,false,307,0,https://www.kinexisdigital.com/en/industries/manufacturing/automotive,200,,,https://www.kinexisdigital.com/en/industries/manufacturing/automotive,200,false,2,0,https://www.kinexisdigital.com/en/industries/manufacturing/automotive
0,https://www.kinexisdigital.com/solutions/web-design-for-saas-companies,,,false,307,0,https://www.kinexisdigital.com/en/solutions/web-design-for-saas-companies,200,,,https://www.kinexisdigital.com/en/solutions/web-design-for-saas-companies,200,false,2,0,https://www.kinexisdigital.com/es/solutions/web-design-for-saas-companies
0,https://www.kinexisdigital.com/team/sarah-mitchell,,,false,307,0,https://www.kinexisdigital.com/en/team/sarah-mitchell,200,,,https://www.kinexisdigital.com/en/team/sarah-mitchell,200,false,2,0,https://www.kinexisdigital.com/en/team/sarah-mitchell
0,https://www.kinexisdigital.com/locations/dallas/web-design,,,false,307,0,https://www.kinexisdigital.com/en/locations/dallas/web-design,200,,,https://www.kinexisdigital.com/en/locations/dallas/web-design,200,false,2,0,https://www.kinexisdigital.com/en/locations/dallas/web-design
0,https://www.kinexisdigital.com/industries/professional-services/medical-practices,,,false,307,0,https://www.kinexisdigital.com/en/industries/professional-services/medical-practices,200,,,https://www.kinexisdigital.com/en/industries/professional-services/medical-practices,200,false,2,0,https://www.kinexisdigital.com/en/industries/professional-services/medical-practices
0,https://www.kinexisdigital.com/industries/technology/saas,,,false,307,0,https://www.kinexisdigital.com/en/industries/technology/saas,200,,,https://www.kinexisdigital.com/en/industries/technology/saas,200,false,2,0,https://www.kinexisdigital.com/en/industries/technology/saas
0,https://www.kinexisdigital.com/locations/cedar-falls/google-ads,,,false,307,0,https://www.kinexisdigital.com/en/locations/cedar-falls/google-ads,200,,,https://www.kinexisdigital.com/en/locations/cedar-falls/google-ads,200,false,2,0,https://www.kinexisdigital.com/en/locations/cedar-falls/google-ads
0,https://www.kinexisdigital.com/blog/roas-calculations,,,false,307,0,https://www.kinexisdigital.com/en/blog/roas-calculations,200,,,https://www.kinexisdigital.com/en/blog/roas-calculations,200,false,2,0,https://www.kinexisdigital.com/es/blog/roas-calculations
0,https://www.kinexisdigital.com/industries/hospitality/event-venues,,,false,307,0,https://www.kinexisdigital.com/en/industries/hospitality/event-venues,200,,,https://www.kinexisdigital.com/en/industries/hospitality/event-venues,200,false,2,0,https://www.kinexisdigital.com/en/industries/hospitality/event-venues
0,https://www.kinexisdigital.com/industries/financial-services/mortgage-lenders,,,false,307,0,https://www.kinexisdigital.com/en/industries/financial-services/mortgage-lenders,200,,,https://www.kinexisdigital.com/en/industries/financial-services/mortgage-lenders,200,false,2,0,https://www.kinexisdigital.com/en/industries/financial-services/mortgage-lenders
0,https://www.kinexisdigital.com/pricing/meta-ads,,,false,307,0,https://www.kinexisdigital.com/en/pricing/meta-ads,200,,,https://www.kinexisdigital.com/en/pricing/meta-ads,200,false,2,0,https://www.kinexisdigital.com/en/pricing/meta-ads
0,https://www.kinexisdigital.com/locations/des-moines/google-ads,,,false,307,0,https://www.kinexisdigital.com/en/locations/des-moines/google-ads,200,,,https://www.kinexisdigital.com/en/locations/des-moines/google-ads,200,false,2,0,https://www.kinexisdigital.com/en/locations/des-moines/google-ads
0,https://www.kinexisdigital.com/blog/seo-audit-framework,,,false,307,0,https://www.kinexisdigital.com/en/blog/seo-audit-framework,200,,,https://www.kinexisdigital.com/en/blog/seo-audit-framework,200,false,2,0,https://www.kinexisdigital.com/en/blog/seo-audit-framework
0,https://www.kinexisdigital.com/locations/dallas,,,false,307,0,https://www.kinexisdigital.com/en/locations/dallas,200,,,https://www.kinexisdigital.com/en/locations/dallas,200,false,2,0,https://www.kinexisdigital.com/en/locations/dallas
0,https://www.kinexisdigital.com/industries/professional-services/accountants,,,false,307,0,https://www.kinexisdigital.com/en/industries/professional-services/accountants,200,,,https://www.kinexisdigital.com/en/industries/professional-services/accountants,200,false,2,0,https://www.kinexisdigital.com/en/industries/professional-services/accountants
0,https://www.kinexisdigital.com/industries/hospitality/hotels,,,false,307,0,https://www.kinexisdigital.com/en/industries/hospitality/hotels,200,,,https://www.kinexisdigital.com/en/industries/hospitality/hotels,200,false,2,0,https://www.kinexisdigital.com/en/industries/hospitality/hotels
0,https://www.kinexisdigital.com/solutions/seo-for-law-firms,,,false,307,0,https://www.kinexisdigital.com/en/solutions/seo-for-law-firms,200,,,https://www.kinexisdigital.com/en/solutions/seo-for-law-firms,200,false,2,0,https://www.kinexisdigital.com/en/solutions/seo-for-law-firms
0,https://www.kinexisdigital.com/industries/hospitality,,,false,307,0,https://www.kinexisdigital.com/en/industries/hospitality,200,,,https://www.kinexisdigital.com/en/industries/hospitality,200,false,2,0,https://www.kinexisdigital.com/en/industries/hospitality
0,https://www.kinexisdigital.com/pricing/local-seo,,,false,307,0,https://www.kinexisdigital.com/en/pricing/local-seo,200,,,https://www.kinexisdigital.com/en/pricing/local-seo,200,false,2,0,https://www.kinexisdigital.com/en/pricing/local-seo
0,https://www.kinexisdigital.com/services/google-ads,,,false,307,0,https://www.kinexisdigital.com/en/services/google-ads,200,,,https://www.kinexisdigital.com/en/services/google-ads,200,false,4,0,https://www.kinexisdigital.com/en/services/google-ads
0,https://www.kinexisdigital.com/blog/automated-nurture-sequences,,,false,307,0,https://www.kinexisdigital.com/en/blog/automated-nurture-sequences,200,,,https://www.kinexisdigital.com/en/blog/automated-nurture-sequences,200,false,2,0,https://www.kinexisdigital.com/en/blog/automated-nurture-sequences
0,https://www.kinexisdigital.com/locations/waterloo/seo,,,false,307,0,https://www.kinexisdigital.com/en/locations/waterloo/seo,200,,,https://www.kinexisdigital.com/en/locations/waterloo/seo,200,false,2,0,https://www.kinexisdigital.com/en/locations/waterloo/seo
0,http://www.kinexisdigital.com/services/ppc-management,,,false,307,0,http://www.kinexisdigital.com/en/services/ppc-management,200,,,http://www.kinexisdigital.com/en/services/ppc-management,200,false,1,0,http://www.kinexisdigital.com/en/blog/negative-keywords-guide
0,https://www.kinexisdigital.com/solutions/ai-marketing-agency,,,false,307,0,https://www.kinexisdigital.com/en/solutions/ai-marketing-agency,200,,,https://www.kinexisdigital.com/en/solutions/ai-marketing-agency,200,false,2,0,https://www.kinexisdigital.com/en/solutions/ai-marketing-agency
0,https://www.kinexisdigital.com/blog,,,false,307,0,https://www.kinexisdigital.com/en/blog,200,,,https://www.kinexisdigital.com/en/blog,200,false,2,0,https://www.kinexisdigital.com/en/blog
0,https://www.kinexisdigital.com/locations/dallas/seo,,,false,307,0,https://www.kinexisdigital.com/en/locations/dallas/seo,200,,,https://www.kinexisdigital.com/en/locations/dallas/seo,200,false,2,0,https://www.kinexisdigital.com/en/locations/dallas/seo
0,https://www.kinexisdigital.com/pricing/analytics,,,false,307,0,https://www.kinexisdigital.com/en/pricing/analytics,200,,,https://www.kinexisdigital.com/en/pricing/analytics,200,false,2,0,https://www.kinexisdigital.com/en/pricing/analytics
0,https://www.kinexisdigital.com/services/paid-ads,,,false,307,0,https://www.kinexisdigital.com/en/services/paid-ads,200,,,https://www.kinexisdigital.com/en/services/paid-ads,200,false,2,0,https://www.kinexisdigital.com/en/services/paid-ads
0,https://www.kinexisdigital.com/industries/technology/fintech,,,false,307,0,https://www.kinexisdigital.com/en/industries/technology/fintech,200,,,https://www.kinexisdigital.com/en/industries/technology/fintech,200,false,2,0,https://www.kinexisdigital.com/en/industries/technology/fintech
0,https://www.kinexisdigital.com/solutions,,,false,307,0,https://www.kinexisdigital.com/en/solutions,200,,,https://www.kinexisdigital.com/en/solutions,200,false,2,0,https://www.kinexisdigital.com/en/solutions
0,https://www.kinexisdigital.com/locations/austin/google-ads,,,false,307,0,https://www.kinexisdigital.com/en/locations/austin/google-ads,200,,,https://www.kinexisdigital.com/en/locations/austin/google-ads,200,false,2,0,https://www.kinexisdigital.com/en/locations/austin/google-ads
0,https://www.kinexisdigital.com/services/ppc-management,,,false,307,0,https://www.kinexisdigital.com/en/services/ppc-management,200,,,https://www.kinexisdigital.com/en/services/ppc-management,200,false,4,0,https://www.kinexisdigital.com/en/services/ppc-management
0,https://www.kinexisdigital.com/solutions/seo-for-hvac-companies,,,false,307,0,https://www.kinexisdigital.com/en/solutions/seo-for-hvac-companies,200,,,https://www.kinexisdigital.com/en/solutions/seo-for-hvac-companies,200,false,2,0,https://www.kinexisdigital.com/en/solutions/seo-for-hvac-companies
0,https://www.kinexisdigital.com/google-ads-vs-seo,,,false,307,0,https://www.kinexisdigital.com/en/google-ads-vs-seo,200,,,https://www.kinexisdigital.com/en/google-ads-vs-seo,200,false,2,0,https://www.kinexisdigital.com/en/google-ads-vs-seo
0,https://www.kinexisdigital.com/industries/professional-services,,,false,307,0,https://www.kinexisdigital.com/en/industries/professional-services,200,,,https://www.kinexisdigital.com/en/industries/professional-services,200,false,2,0,https://www.kinexisdigital.com/en/industries/professional-services
0,https://www.kinexisdigital.com/locations/austin/web-design,,,false,307,0,https://www.kinexisdigital.com/en/locations/austin/web-design,200,,,https://www.kinexisdigital.com/en/locations/austin/web-design,200,false,2,0,https://www.kinexisdigital.com/en/locations/austin/web-design
0,https://www.kinexisdigital.com/locations/austin/seo,,,false,307,0,https://www.kinexisdigital.com/en/locations/austin/seo,200,,,https://www.kinexisdigital.com/en/locations/austin/seo,200,false,2,0,https://www.kinexisdigital.com/en/locations/austin/seo
0,https://www.kinexisdigital.com/solutions/google-ads-for-roofers,,,false,307,0,https://www.kinexisdigital.com/en/solutions/google-ads-for-roofers,200,,,https://www.kinexisdigital.com/en/solutions/google-ads-for-roofers,200,false,2,0,https://www.kinexisdigital.com/en/solutions/google-ads-for-roofers
0,https://www.kinexisdigital.com/locations/dallas/google-ads,,,false,307,0,https://www.kinexisdigital.com/en/locations/dallas/google-ads,200,,,https://www.kinexisdigital.com/en/locations/dallas/google-ads,200,false,2,0,https://www.kinexisdigital.com/en/locations/dallas/google-ads
0,https://www.kinexisdigital.com/blog/quality-score-guide,,,false,307,0,https://www.kinexisdigital.com/en/blog/quality-score-guide,200,,,https://www.kinexisdigital.com/en/blog/quality-score-guide,200,false,2,0,https://www.kinexisdigital.com/en/blog/quality-score-guide
0,https://www.kinexisdigital.com/industries/manufacturing/aerospace,,,false,307,0,https://www.kinexisdigital.com/en/industries/manufacturing/aerospace,200,,,https://www.kinexisdigital.com/en/industries/manufacturing/aerospace,200,false,2,0,https://www.kinexisdigital.com/en/industries/manufacturing/aerospace
